Data,Dobowa liczba wykonanych testów,Dobowa liczba osób z wynikiem pozywnym,7-dniowa średnia dobowej liczby wykonanych testów,7-dniowa średnia dobowego % wyników pozytywnych  (w dobowej liczbie testów)
2021-01-07,50177,8790,41 953,"21,5%"
2021-01-08,58371,10548,45 798,"19,5%"
2021-01-09,43731,9410,47 814,"19,9%"
2021-01-10,26151,4622,47 916,"19,9%"
2021-01-11,50150,5569,48 156,"19,2%"
2021-01-12,73911,9053,49 893,"17,7%"
2021-01-13,79405,9436,54 557,"15,7%"
2021-01-14,73121,7795,57 834,"14,7%"
2021-01-15,69348,7412,59 402,"13,7%"
2021-01-16,55247,6055,61 048,"12,2%"
2021-01-17,25174,3271,60 908,"11,5%"
2021-01-18,48408,4835,60 659,"11,3%"
2021-01-19,48317,6919,57 003,"11,6%"
2021-01-20,47141,7152,52 394,"12,1%"
2021-01-21,45108,6640,48 392,"12,7%"
2021-01-22,44490,6322,44 841,"13,2%"
2021-01-23,30965,4683,41 372,"13,8%"
2021-01-24,19945,2419,40 625,"13,7%"
2021-01-25,42669,4604,39 805,"13,8%"
2021-01-26,47406,6789,39 675,"13,8%"
2021-01-27,47689,7156,39 753,"13,8%"
2021-01-28,45020,6144,39 741,"13,6%"
2021-01-29,44905,5864,39 800,"13,4%"
2021-01-30,32276,4706,39 987,"13,4%"
2021-01-31,21611,2503,40 225,"13,3%"
2021-02-01,42046,4326,40 136,"13,2%"
2021-02-02,47208,6802,40 108,"13,2%"
2021-02-03,43943,6496,39 573,"13,2%"
2021-02-04,41533,6053,39 075,"13,3%"
2021-02-05,44333,6026,38 993,"13,4%"
2021-02-06,31353,4728,38 861,"13,5%"
2021-02-07,21067,2431,38 783,"13,5%"
2021-02-08,43493,4029,38 990,"13,3%"
2021-02-09,52056,6930,39 683,"13,2%"
2021-02-10,51690,7008,40 789,"13,0%"
2021-02-11,48897,6379,41 841,"12,8%"
2021-02-12,49712,6586,42 610,"12,7%"
2021-02-13,34566,5334,43 069,"12,8%"
2021-02-14,22556,2543,43 281,"12,7%"
2021-02-15,46241,5178,43 674,"13,0%"
2021-02-16,54781,8694,44 063,"13,4%"
2021-02-17,54077,9073,44 404,"13,8%"
2021-02-18,49449,8777,44 483,"14,5%"
2021-02-19,50505,8510,44 596,"15,0%"
2021-02-20,37407,7038,45 002,"15,5%"
2021-02-21,24924,3890,45 341,"16,1%"
2021-02-22,41975,6310,44 731,"16,7%"
2021-02-23,61847,12146,45 741,"17,2%"
2021-02-24,57453,12142,46 223,"17,8%"
2021-02-25,53369,11539,46 783,"18,4%"
2021-02-26,56971,12100,47 707,"19,0%"
2021-02-27,43898,10099,48 634,"19,6%"
2021-02-28,26770,4786,48 898,"19,9%"
2021-03-01,50212,7937,50 074,"20,0%"
2021-03-02,62680,15698,50 193,"20,8%"
2021-03-03,62892,15250,50 970,"21,3%"
2021-03-04,59118,15829,51 792,"22,0%"
2021-03-05,62428,14857,52 571,"22,4%"
2021-03-06,49997,13574,53 442,"23,0%"
2021-03-07,31747,6170,54 153,"23,2%"
2021-03-08,54010,9954,54 696,"23,6%"
2021-03-09,68383,17260,55 511,"23,6%"
2021-03-10,73332,21045,57 002,"24,2%"
2021-03-11,65966,18775,57 980,"24,5%"
2021-03-12,73120,21049,59 508,"25,2%"
2021-03-13,59910,17259,60 924,"25,4%"
2021-03-14,42372,10896,62 442,"26,3%"
2021-03-15,63915,14396,63 857,"26,9%"
2021-03-16,84862,25052,66 211,"27,5%"
2021-03-17,86240,27278,68 055,"27,9%"
2021-03-18,86153,25998,70 939,"28,2%"
2021-03-19,87609,26405,73 009,"28,4%"
2021-03-20,62899,21849,73 436,"29,2%"
2021-03-21,49135,14578,74 402,"29,8%"
2021-03-22,72429,16741,75 618,"29,9%"
2021-03-23,95854,29978,77 188,"30,1%"
2021-03-24,102579,34151,79 523,"30,3%"
2021-03-25,107713,35143,82 603,"30,7%"
2021-03-26,101079,31757,84 527,"30,9%"
2021-03-27,86516,29253,87 901,"30,7%"
2021-03-28,54792,16965,88 709,"30,9%"
2021-03-29,80088,20870,89 803,"31,3%"
